antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection,Line_X,Line_Y,dummy
Cereal,Juice,0.20261437908496732,0.1503267973856209,0.032679738562091505,0.16129032258064516,1.0729312762973353,0.002221367849972237,1.0130718954248366,0.08524590163934441,T-144,34,129,1
Juice,Cereal,0.1503267973856209,0.20261437908496732,0.032679738562091505,0.2173913043478261,1.0729312762973353,0.002221367849972237,1.0188816267247642,0.08000000000000014,T-144,42,214,1
Milk,Cereal,0.1568627450980392,0.20261437908496732,0.032679738562091505,0.20833333333333334,1.028225806451613,0.000897090862488785,1.0072239422084623,0.03255813953488367,T-127,14,229,1
Cereal,Milk,0.20261437908496732,0.1568627450980392,0.032679738562091505,0.16129032258064516,1.028225806451613,0.000897090862488785,1.0052790346907994,0.03442622950819666,T-127,34,129,1
Cereal,Onions,0.20261437908496732,0.1503267973856209,0.06535947712418301,0.3225806451612903,2.1458625525946706,0.034901106412063745,1.2542794895736071,0.6696721311475411,T-117,34,129,1
Onions,Cereal,0.1503267973856209,0.20261437908496732,0.06535947712418301,0.4347826086956522,2.1458625525946706,0.034901106412063745,1.410759175465058,0.6284615384615386,T-117,16,240,1
Cereal,Pasta,0.20261437908496732,0.1503267973856209,0.0392156862745098,0.1935483870967742,1.2875175315568024,0.008757315562390535,1.05359477124183,0.2800546448087432,T-11,34,129,1
Pasta,Cereal,0.1503267973856209,0.20261437908496732,0.0392156862745098,0.2608695652173913,1.2875175315568022,0.008757315562390535,1.0788158400615149,0.2628205128205129,T-11,18,253,1
Cereal,Potatoes,0.20261437908496732,0.17647058823529413,0.0457516339869281,0.22580645161290322,1.2795698924731183,0.009996155324875043,1.0637254901960784,0.2740046838407493,T-86,34,129,1
Potatoes,Cereal,0.17647058823529413,0.20261437908496732,0.0457516339869281,0.25925925925925924,1.2795698924731183,0.009996155324875043,1.0764705882352943,0.2653061224489795,T-86,21,262,1
Cereal,Tea,0.20261437908496732,0.1503267973856209,0.0392156862745098,0.1935483870967742,1.2875175315568024,0.008757315562390535,1.05359477124183,0.2800546448087432,T-48,34,129,1
